Reference;Publication Year;Task;Case study;Case study type;Input for the model;Number of input variables;Input type;Data Pre-processing;Model Approach;Model Type;Models;Online/Off-line;Number of failure modes;Performance indicator;Performance;Complementary notes;Study title;Publication identifier
67;2017;Remaining useful life estimation;LED Lighting;Electrical components;Time series;1;Relative Luminosity;Yes;Multi model;Data-driven;HMM AO (Hidden Markov with auto-correlated observations);Off-line;1;Root mean square error, Relative error;(<0,025), (<0,06,);No info about operational modes, one case study, HMM-AO: State -Based RUL prediction method, 19 testing instances, degrading over time was measured at every h = 336 h, 9744h of degradation data, no info about computational power;Hidden Markov model with auto-correlated observations for remaining useful life prediction and optimal maintenance policy;doi.org/10.1016/j.ress.2017.09.002
68;2017;Remaining useful life estimation;LED Lighting;Electrical components;Time series;1;Relative Luminosity;Yes;Multi model;Data-driven;HMM AO (Hidden Markov with auto-correlated observations);Off-line;1;Root mean square error, Relative error;(<0,025), (<0,06,);No info about operational modes, one case study, HMM-AO: Observation-based prediction method, 19 testing instances, degrading over time was measured at every h = 336 h, 9744h of degradation data, no info about computational power;Hidden Markov model with auto-correlated observations for remaining useful life prediction and optimal maintenance policy;doi.org/10.1016/j.ress.2017.09.002
69;2016;Remaining useful life estimation;Turbofan engine;Rotary machines;Signals;21;Diverse turbofan signals;Yes;Multi model;Data-driven;Discrete time Markov chain-probabilistic;Off-line;21;Score function, Mean square error, Root mean square error;(3566), (716), (423);6 operational conditions, 3 operational settings, one case study, 218 training units, 21 parameters, no info about computational power;Remaining useful life estimation for deteriorating systems with time-varying operational conditions and condition-specific failure zones;doi.org/10.1016/j.cja.2016.04.007
70;2017;Fault feature extraction;Semiconductor manufacturing station;Electrical components;Time series;5;Contamination level, Not specified others;Yes;Multi model;Data-driven;Hidden Markov with EM (expectation maximitation algorith), GA (genetic algorithms);Off-line;1;N/A;N/A;1 operational mode, 4000 test wafers were used, 8 datasets, wafers are processed in lots, where one lot can contain up to 25 wafers, no explicit info about training data, no info about computational power; Hidden Markov Model-Based Predictive Maintenance in Semiconductor Manufacturing: A Genetic Algorithm Approach;978-1-5090-6781-7/17/
71;2016;Health modelling;Semiconductor manufacturing station;Electrical components;Signals;17;Temperature, Fluid Pressure, Flow rates, Electric signals;Yes;Multi model;Data-driven;Bayes model, Hidden Markov;Off-line;7;N/A;N/A;1 operational mode, 1662 sequences of wafers were used, 4 types of samples, no explicit info about training data, no info about computational power;Bayesian Identification of Hidden Markov Models and Their Use for Condition-Based Monitoring;10.1109/TR.2016.2570561
72;2010;Fault detection;Tank reactor;Structures;Time series;3;Temperature, Flow rates;Yes;Multi model;Knowledge-based, Data-driven;Updated Rule based system, Hidden Markov;Online;4;Probability;From graphics curves red and dotted green;2 operational modes, a set of 500 samples was used, 2 belief rules base (with 6 rules each) were used, no explicit info about training data, no info about computational power;A model for real-time failure prognosis based on hidden Markov model and belief rule base;doi:10.1016/j.ejor.2010.03.032
73;2012;Health assessment;naval machinery;Electromechanical systems;Time series;2;Flow rates, efficiency;Yes;Multi model;Data-driven;Wiener process, Principal component analysis;Off-line;1;N/A;N/A;3 operational modes, 218 sample units, two data sets: training data set and testing are mention, but no explicit info about them, no info about computational power;Remaining useful life estimation based on stochastic deterioration models: A comparative study;doi.org/10.1016/j.ress.2012.11.022
74;2012;Remaining useful life estimation;naval machinery;Electromechanical systems;Time series;2;Health index;Yes;Multi model;Data-driven;Wiener process, Principal component analysis;Off-line;1;Score function, Mean square error, Root mean square error;(5520),(819),(423);3 operational modes, 218 sample units, two data sets: training data set and testing are mention, but no explicit info about them, Wiener process for health index, no info about computational power;Remaining useful life estimation based on stochastic deterioration models: A comparative study;doi.org/10.1016/j.ress.2012.11.022
75;2012;Remaining useful life estimation;naval machinery;Electromechanical systems;Time series;2;Health index;Yes;Multi model;Data-driven;Similarity Based Approach;Off-line;1;Score function, Mean square error, Root mean square error;(6690),(809),(420);3 operational modes, 218 sample units, two data sets: training data set and testing are mention, but no explicit info about them, Wiener process for health index, no info about computational power;Remaining useful life estimation based on stochastic deterioration models: A comparative study;doi.org/10.1016/j.ress.2012.11.022
76;2012;Remaining useful life estimation;naval machinery;Electromechanical systems;Time series;2;Health index;Yes;Multi model;Data-driven;Probability Approach;Off-line;1;Score function;-9870;3 operational modes, 218 sample units, two data sets: training data set and testing are mention, but no explicit info about them, Wiener process for health index, no info about computational power;Remaining useful life estimation based on stochastic deterioration models: A comparative study;doi.org/10.1016/j.ress.2012.11.022
77;2018;Health modelling;mining machinery;Structures;Time series;3;Spinning speed, Distance, Time;Yes;Single model;Data-driven;Wiener process;Online;1;Probability;From graphics green curve;No info about operational modes, one case study, no info about testing and training sets, the processing of measurement data was previously done;Application of selected Levy processes for Health modelling of long range mine belt using real-time data;doi.org/10.1016/j.acme.2018.05.006
78;2018;Health modelling;mining machinery;Structures;Time series;3;Spinning speed, Distance, Time;Yes;Single model;Data-driven;Modified Wiener process;Online;1;Probability;From graphics green curve;No info about operational modes, one case study, no info about testing and training sets, the processing of measurement data was previously done;Application of selected Levy processes for Health modelling of long range mine belt using real-time data;doi.org/10.1016/j.acme.2018.05.006
79;2018;Health modelling;mining machinery;Structures;Time series;3;Spinning speed, Distance, Time;Yes;Single model;Data-driven;Ornestein-Uhlenbeck process (OUP);Online;1;Probability;From graphics green curve;No info about operational modes, one case study, no info about testing and training sets, the processing of measurement data was previously done;Application of selected Levy processes for Health modelling of long range mine belt using real-time data;doi.org/10.1016/j.acme.2018.05.006
80;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error, Absolute error;From grahics 1st place, (<0,08);No info about operational modes, Gaussian Process with Basic single output plus parametric model, 3 datasets of 18650, 100-200 cycles of training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
81;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error, Absolute error;From grahics 2nd place, (<0,1);No info about operational modes, Gaussian Process with Basic single output plus parametric model, 3 datasets of 18650, no info about training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
82;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Single model;Data-driven;Gaussian Process Regression;Off-line;1;Root mean square error, Absolute error;From grahics 3rd place, (<0,1);No info about operational modes, Gaussian Process with Basic single output, 3 datasets of 18650, no info about training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
83;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error;From grahics 1st place;No info about operational modes, Gaussian Process with 3 outputs plus parametric model, 3 datasets of 18650, 150 days of training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
84;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error;From grahics 2nd place;No info about operational modes, Gaussian Process with 2 outputs plus parametric model, 3 datasets of 18650, 200-150 days of training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
85;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error;From grahics 3rd place;No info about operational modes, Gaussian Process with 2 outputs plus parametric model, 3 datasets of 18650, 150 days of training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
86;2017;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Impedance, Current, Temperature;No;Multi model;Data-driven, Physics-based;Gaussian Process Regression, Physics-based model ;Off-line;1;Root mean square error;From grahics 4th place;No info about operational modes, Gaussian Process with 1 output plus parametric model, 3 datasets of 18650, 300-100 days of training data, no info about computational power;Gaussian process regression for forecasting battery state of health;doi.org/10.1016/j.jpowsour.2017.05.004
87;2016;Health modelling;LED Lighting;Electrical components;Time series;4;Temperature, Humidity, Current, Time;Yes;Multi model;Data-driven;Gamma process, Compound Poisson;Off-line;1;Reliability;([0.75,0.95]);12 operational modes, 6 for current and 6 for temperature, Levy subordinator model, 25 degradation data sets, no info about training sets, 4 different models of LEDs;Prognostics-basedqualificationofhigh-powerwhiteLEDs using Lévyprocessapproach;doi.org/10.1016/j.ymssp.2016.05.019
88;2016;Health modelling;LED Lighting;Electrical components;Time series;4;Temperature, Humidity, Current, Time;Yes;Single model;Data-driven;Levy Distribution;Off-line;1;Reliability;([0.98,0.55]);12 operational modes, 6 for current and 6 for temperature, Levy model, 25 degradation data sets, no info about training sets, 1 different models of LEDs;Prognostics-basedqualificationofhigh-powerwhiteLEDs using Lévyprocessapproach;doi.org/10.1016/j.ymssp.2016.05.019
89;2016;Health modelling;LED Lighting;Electrical components;Time series;4;Temperature, Humidity, Current, Time;Yes;Single model;Data-driven;Inverse Gaussian Distribution;Off-line;1;Reliability;([0.98,0.0]);12 operational modes, 6 for current and 6 for temperature, Gaussian distribution model, 25 degradation data sets, no info about training sets, 1 different models of LEDs;Prognostics-basedqualificationofhigh-powerwhiteLEDs using Lévyprocessapproach;doi.org/10.1016/j.ymssp.2016.05.019
90;2012;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;3;Acceleration, Frequency, Vibrations;Yes;Multi model;Data-driven;Mixture of Gaussians Hidden Markov Models (MoG-HMM);Off-line;1;Accuracy, Precision, Root mean square error, Mean absolute error percentage;(0.5781), (4138),(5.55x10^7),(56.27);No info about operational modes. Wavelet Packet De-composition (WPD) used for signal preprocessing, 12 data sets were used, 11 for training and 1 for testing. 4 bearings were tested. Sofware Matlab for computational power;A Data-Driven Failure Prognostics Method Based on Mixture of Gaussians Hidden Markov Models;doi.org/10.1109/TR.2012.2194177
91;2015;Health modelling;Laser device;Optical devices;Time series;1;Time;Yes;Single model;Data-driven;Inverse Gaussian with random effect;Off-line;1;N/A;N/A;No info about operational modes. 15 data sets were used, for 4000 h of measuring, no info about training test and testing test. Expectation Maximimization algorithm for estimation of model parameters. No info about computational power;Remaining useful life estimation using an inverse Gaussian degradation model;doi.org/10.1016/j.neucom.2015.12.041
92;2015;Remaining useful life estimation;Laser device;Optical devices;Time series;1;Time;Yes;Single model;Data-driven;Inverse Gaussian with random effect;Off-line;1;N/A;N/A;No info about operational modes. 15 data sets were used, for 4000 h of measuring, no info about training test and testing test. Expectation Maximimization algorithm for estimation of model parameters. No info about computational power;Remaining useful life estimation using an inverse Gaussian degradation model;doi.org/10.1016/j.neucom.2015.12.041
93;2019;Health modelling;Lithium-ion battery;Energy cells and batteries;Time series;3;Voltage, Current, Temperature;Yes;Multi model;Data-driven;Semi-Empirical Model with Coulombic efficiency;Online;1;Absolute error, Root mean square error;From graphic purple curve, ([0.00121,0.00335]);2 operational modes, 4 cells for stage 1, 2 cells for stage 2. semi empirical Model A. No info about training sets and testing sets. PC with Intel Core I7 processor and Matlab 2016 for computational power;A coulombic efficiency-based model for prognostics and health estimation of lithium-ion batteries;doi.org/10.1016/j.energy.2019.01.083
94;2019;Health modelling;Lithium-ion battery;Energy cells and batteries;Time series;3;Voltage, Current, Temperature;Yes;Multi model;Data-driven;Semi-Empirical Model with Coulombic efficiency;Online;1;Absolute error, Root mean square error;from graphics green curve, ([0.00553, 0.98717]);2 operational modes, 4 cells for stage 1, 2 cells for stage 2. Semi empirical Model B. No info about training sets and testing sets. PC with Intel Core I7 processor and Matlab 2016 for computational power;A coulombic efficiency-based model for prognostics and health estimation of lithium-ion batteries;doi.org/10.1016/j.energy.2019.01.083
95;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;3;Voltage, Current, Temperature;Yes;Multi model;Data-driven;Semi-Empirical Model with Coulombic efficiency;Online;1;Absolute error, Root mean square error;([0.83, 2.50]);2 operational modes, 4 cells for stage 1, 2 cells for stage 2. Semi empirical Model A plus Particle Filter Sequential Monte Carlo Method. No info about training sets and testing sets. PC with Intel Core I7 processor and Matlab 2016 for computational power;A coulombic efficiency-based model for prognostics and health estimation of lithium-ion batteries;doi.org/10.1016/j.energy.2019.01.083
96;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;3;Voltage, Current, Temperature;Yes;Multi model;Data-driven;Semi-Empirical Model with Coulombic efficiency;Online;1;Absolute error, Root mean square error;([3.13, 7.48]);2 operational modes, 4 cells for stage 1, 2 cells for stage 2. Semi empirical Model B plus Particle Filter Sequential Monte Carlo Method. No info about training sets and testing sets. PC with Intel Core I7 processor and Matlab 2016 for computational power;A coulombic efficiency-based model for prognostics and health estimation of lithium-ion batteries;doi.org/10.1016/j.energy.2019.01.083
97;2019;Remaining useful life estimation;Steam Turbine;Rotary machines;Signals;7;Condenser vacuum, Generator Power, Temperature, Fluid Pressure;Yes;Single model;Data-driven;Dynamic Time Warping (DTW);Online;3;N/A;N/A;No info about operational modes. One steam historical data used for training. One steam historical data used for testing. Same operational conditions for both turbines. Similarity based algorithm used to predict RUL. No info about computational power.;A Data-Driven Health Prognostics Approach for Steam Turbines Based on Xgboost and DTW;doi.org/10.1016/j.microrel.2013.03.010
98;2019;Fault detection;Steam Turbine;Rotary machines;Signals;7;Condenser vacuum, Generator Power, Temperature, Fluid Pressure;Yes;Single model;Data-driven;Extreme Gradient Boosting (XGBoost);Online;3;N/A;N/A;No info about operational modes. One steam historical data used for training. One steam historical data used for testing. Same operational conditions for both turbines. XGBoost for training. No info about computational power.;A Data-Driven Health Prognostics Approach for Steam Turbines Based on Xgboost and DTW;doi.org/10.1016/j.microrel.2013.03.010
99;2013;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Current, Impedance, Temperature;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;1;Mean absolute error percentage, Root mean square error;(0.121),(13.03);3 operational modes, 100 units were used, 100 training sets, 68 steps of available capacity. Results for battery 5. No info about computational power;Prognostics for state of health estimation of lithium-ion batteries based on combination Gaussian process functional regression;doi.org/10.1016/j.microrel.2013.03.010
100;2013;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Current, Impedance, Temperature;Yes;Multi model;Data-driven;Linear Gaussian Process Functional Regression (LGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;(0.230),(1.71);3 operational modes, 100 units were used, 100 training sets, 68 steps of available capacity. Results for battery 5. No info about computational power;Prognostics for state of health estimation of lithium-ion batteries based on combination Gaussian process functional regression;doi.org/10.1016/j.microrel.2013.03.010
101;2013;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Current, Impedance, Temperature;Yes;Multi model;Data-driven;Gaussian Process Functional Regression with Quadratic Polynomial Mean Function (QGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;(0.019),(1.50);3 operational modes, 100 units were used, 100 training sets, 68 steps of available capacity. Results for battery 5. No info about computational power;Prognostics for state of health estimation of lithium-ion batteries based on combination Gaussian process functional regression;doi.org/10.1016/j.microrel.2013.03.010
102;2013;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Current, Impedance, Temperature;Yes;Multi model;Data-driven;Linear Gaussian Process Functional Regression (LGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;(0.016),(1.36);3 operational modes, 100 units were used, 100 training sets, 68 steps of available capacity. Combination of LGPFR. Results for battery 5. No info about computational power;Prognostics for state of health estimation of lithium-ion batteries based on combination Gaussian process functional regression;doi.org/10.1016/j.microrel.2013.03.010
103;2013;Multiple steps future state forecast;Lithium-ion battery;Energy cells and batteries;Time series;4;Voltage, Current, Impedance, Temperature;Yes;Multi model;Data-driven;Gaussian Process Functional Regression with Quadratic Polynomial Mean Funtion (QGPFR);Off-line;1;Mean absolute error percentage, Root mean square error;(0.021),(1.80);3 operational modes, 100 units were used, 100 training sets, 68 steps of available capacity. Combination of QGPFR. Results for battery 5. No info about computational power;Prognostics for state of health estimation of lithium-ion batteries based on combination Gaussian process functional regression;doi.org/10.1016/j.microrel.2013.03.010
104;2018;Health assessment;Rolling bearings;Rotary machines;Signals;3;Frequency, Spinning speed, Acceleration;Yes;Multi model;Physics-based;Recursive Least Squares (RLS), Recursive Maximun Likelihood Estimation (RMLE);Online;1;N/A;N/A;3 operational modes, sampling frequency was 25,6Hz, each sample contains 2560 data points, samples were taken every 10 seconds. Hilbert - Huang Transform (HHT) was used to process data. No info about training or testing. No info about computational power;Prognostics and Health Management of Bearings Based on Logarithmic Linear Recursive Least-Squares and Recursive Maximum Likelihood Estimation;doi.org/10.1109/TIE.2017.2733469
105;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;3;Health index;Yes;Multi model;Physics-based;Recursive Least Squares (RLS), Recursive Maximun Likelihood Estimation (RMLE);Online;1;Error range, Score function;([-9.14,55.44]), (0.6101);3 operational modes, sampling frequency was 25,6Hz, each sample contains 2560 data points, samples were taken every 10 seconds. Particle filter with logaritmic linear RLS and RMLE were used to obtain RUL. No info about training or testing. No info about computational power;Prognostics and Health Management of Bearings Based on Logarithmic Linear Recursive Least-Squares and Recursive Maximum Likelihood Estimation;doi.org/10.1109/TIE.2017.2733469
106;2009;One step future state forecast;Low methane compressors;Reciprocating machines;Time series;1;Vibrations;No;Single model;Data-driven;Monte Carlo method;Off-line;1;Root mean square error, Mean absolute error, Variance absolute error, Mean absolute relative error, Variance relative error, Correlation coefficient;([0.0243,0.0422]), ([0.0175,0.0421]), ([0.0014,0.0067]), ([0.0653,0.1193]), ([0.0466,0.1248]), ([0.7714,0.9448]);1 operational mode, 3 sets were used 50 points, 200 point and 1000 points. No info about training or testing. No info about computational power. ;Machine condition prognosis based on sequential Monte Carlo method;doi:10.1016/j.eswa.2009.07.014
107;2018;Remaining useful life estimation;Cutter tool;Rotary machines;Signals;3;Acceleration;No;Multi model;Data-driven;Sequential Monte Carlo (SMC);Online;1;N/A;N/A;1 operational mode, 6 samples. No info about training or testing. No info about computational power;Sequential Monte Carlo Method Toward Online RUL Assessment with Applications;doi.org/10.1186/s10033-018-0205-
108;2011;Remaining useful life estimation;Simulated gas turbine;Rotary machines;Time series;7;Temperature;No;Multi model;Data-driven;Sequential Monte Carlo (SMC);Off-line;1;N/A;N/A;6 operational modes. 3 engines are used to construct the training set. No info about computational power;Application of a state space modeling technique to system prognostics based on a health index for condition-based maintenance;doi:10.1016/j.ymssp.2011.09.029
109;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Zero Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.93E-6,0.2951]), ([1.14E-5,1.5041]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
110;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Constant Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.0017,0.295]), ([0.0099,1.5033]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
111;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Linear Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.0001,0.0017]), ([0.0006,0.0089]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
112;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Affine Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.004,0.0013]), ([0.0025,0.0069]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
113;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Quadratic Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.0006,0.001]), ([0.0031,0.0052]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
114;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Cubic Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([21.9123,93.6593]),([154.0565,661.7885]);1 operational mode, test and training samples obtained from the same bearing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
115;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Zero Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.0728,1.1479]), ([5.4577,5.6366]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
116;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Constant Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.0318,1.1331]), ([5.0105,5.6368]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
117;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Linear Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1.0585,1.1432]), ([5.5102,5.7400]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
118;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Affine Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.9695,1.0346]), ([4.9982,5.1175]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
119;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Quadratic Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([0.9358,1.1650]), ([5.248,5.7940]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
120;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;2;Acustic, Load;Yes;Single model;Data-driven;Cubic Mean GPR;Off-line;1;Mean absolute error percentage, Root mean square error;([1314.6,3824.0]), ([12172.3,31011.0]);1 operational mode, test and training samples obtained from the different bearings, 2 bearings samples where trained together and data from the third is used for testing. No info about computational power.;Prognostics of slow speed bearings using a composite integrated Gaussian process regression model;DOI: 10.1080/00207543.2018.1470340
121;2018;Remaining useful life estimation;Unknown Item;Unknown Item Type;Structured text-based;;Health index;No;Single model;Data-driven;Transition matrix method;Off-line;;Root mean square error;([4.17e-4, 1.09e-2]);No operational mode information was given. No input info was given. No case info was given.;Evaluation of Reliability Function and Mean Residual Life for Degrading Systems Subject to Condition Monitoring and Random Failure;DOI: 10.1109/TR.2017.2779322
122;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Temperature, Voltage, Current, Time;Yes;Single model;Physics-based;Unscented Kalman Filtering;Off-line;;N/A;N/A;Training time around 20 minutes. No information about operational modes was given.;Exploring Gaussian Process Regression and Unscented Kalman Filtering for Battery Prognostics;DOI: 10.2514/6.2019-0685
123;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Temperature, Voltage, Current, Time;Yes;Single model;Data-driven;Gaussian Process Regression (GPR);Off-line;;Root mean square error;(<0.1058);Limited training set, slow to train 1 hour. No information about operational modes was given.;Exploring Gaussian Process Regression and Unscented Kalman Filtering for Battery Prognostics;DOI: 10.2514/6.2019-0685
124;2015;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;3;Not specified others;Yes;Single model;Data-driven;Monte carlo simulation;Off-line;1;Root mean square error, Score function;(22.15), (16.7);6 operational modes. 100 testing units were used;A STOCHASTIC ASSET LIFE PREDICTION METHOD FOR LARGE FLEET DATASETS IN BIG DATA ENVIRONMENT;DOI: 10.1115/IMECE2015-52458
125;2015;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;4;Not specified others;Yes;Single model;Data-driven;Multi-layer perceptron neural network;Off-line;1;Root mean square error, Score function;(26.85), (151.08);7 operational modes. 100 testing units were used;A STOCHASTIC ASSET LIFE PREDICTION METHOD FOR LARGE FLEET DATASETS IN BIG DATA ENVIRONMENT;DOI: 10.1115/IMECE2015-52458
126;2015;Remaining useful life estimation;Simulated jet-engines data;Rotary machines;Time series;5;Not specified others;Yes;Single model;Data-driven;Trajectory Similarity;Off-line;1;Root mean square error, Score function;(19.46), (26.41);8 operational modes. 100 testing units were used;A STOCHASTIC ASSET LIFE PREDICTION METHOD FOR LARGE FLEET DATASETS IN BIG DATA ENVIRONMENT;DOI: 10.1115/IMECE2015-52458
127;2014;Remaining useful life estimation;Turbofan engine;Rotary machines;Time series;2;Physical fan speed, Corrected fan speed;Yes;Single model;Data-driven;k-nearest neighbors, Bayesian filter;Online;1;Mean absolute relative error;(<12.19%);No operational mode information was given. Error is calculated only for the last cycles of all 100 test signals No info about computational power.;Data-driven prognostic method based on Bayesian approaches for direct remaining useful life prediction;DOI 10.1007/s10845-014-0933-4
128;2014;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Voltage at discharge, Battery capacity;Yes;Single model;Data-driven;k-nearest neighbors, Bayesian filter;Online;1;Mean absolute relative error;([26.3089,28.3536]);No operational mode information was given. Only 10 cycles were consider for the predictions, error decrease with number of cycles.No info about computational power.;Data-driven prognostic method based on Bayesian approaches for direct remaining useful life prediction;DOI 10.1007/s10845-014-0933-4
129;2016;Multiple steps future state forecast;Rectifier system;Electrical components;Time series;2;Peak to peak of ripple voltaje, Ripple factor;No;Single model;Data-driven;Stochastic simulation;Off-line;1;N/A;N/A;300 samples were chosed ;Methodologies for System-level Remaining Useful Life Prediction;dx.doi.org/10.1016/j.ress.2016.05.006
130;2016;Multiple steps future state forecast;Rectifier system;Electrical components;Time series;2;Peak to peak of ripple voltaje, Ripple factor;No;Single model;Data-driven;inverse-FORM;Off-line;1;N/A;N/A;5 iteration were used;Methodologies for System-level Remaining Useful Life Prediction;dx.doi.org/10.1016/j.ress.2016.05.006
